title,year,director,actor1,actor2,genre,rating,country,releasedate
Mystery Date,1991,Jonathan Wacks,Ethan Hawke,Teri Polo,Comedy,6,USA,16-Aug-91
Man Up,2015,Justin Chon,Dion Basco,Gerry Bednob,Comedy,5.6,USA,26-Apr-15
Predatory Moon,2017,None,Christopher Morrissey,Jonathan Foster,Horror,4.3,USA,1-Oct-17
Force: Five,1981,Robert Clouse,Joe Lewis,Bong Soo Han,Action,5.1,USA,Jul-81
Burlexxx,1984,Vince Benedetti,Chelsea Blake,George Payne,Adult,6.2,USA,1984
Kissing on the Mouth,2005,None,Kate Winterich,Joe Swanberg,Drama,4.7,USA,12-Mar-05
Jason Nash Is Married,2014,None,Jason Nash,Busy Philipps,Comedy,5.2,USA,24-Jun-14
Zombiechrist,2010,Bill Zebub,Kathy Rice,Julie Anne Hamolke,Horror,2.4,USA,27-Oct-10
Neil Stryker and the Tyrant of Time,2017,None,David Ogden Stiers,Rob Taylor,Action,4.1,USA,11-Apr-17
Claudine's Return,1998,Antonio Tibaldi,Christina Applegate,Stefano Dionisi,Drama,4.1,USA,17-Apr-98
Welcome to Alaska,1999,None,Roger R. Johnson,Adrienne Lindstrom,Action,4.9,USA,NA
Seclusion,2006,Steve Mudd,Chris Gann,Christopher Stapleton,Mystery,2.3,USA,7-Nov-06
The First Date,2017,Michael Buttino Jr.,Liane Martonis,Paul McGinnis,Comedy,5.1,USA,26-Sep-17
Night Class,2001,Sheldon Wilson,Sean Young,Rick Peters,Crime,4.6,USA,23-Oct-01
Offerings,1989,Christopher Reynolds,Loretta Leigh Bowman,Elizabeth Greene,Horror,4.5,USA,May-89
Second Fiddle to a Steel Guitar,1965,Victor Duncan,Arnold Stang,Pamela Hayes,Comedy,7.7,USA,15-Sep-65
Man of the House,2005,Stephen Herek,Tommy Lee Jones,Christina Milian,Action,5.4,USA,25-Feb-05
Skunk-Ape Hunters in Texas,2011,Adrian Santiago,Tony Palumbo,Matt Page,Comedy,6,USA,23-Oct-11
Alien Raiders,2008,Ben Rock,Carlos Bernard,Mathew St. Patrick,Action,5.6,USA,21-Sep-08
The Sasquatch Gang,2006,Tim Skousen,Justin Long,Jeremy Sumpter,Comedy,6.3,USA,Jan-06
Dead 7,2016,Danny Roew,Nick Carter,Carrie Keagan,Comedy,3.1,USA,1-Apr-16
Covert Action,1988,None,Rick Washburn,J. Christian Ingvordsen,Action,3.7,USA,29-Jun-88
The Importance of Being Earnest,1992,Kurt Baker,Sylvester Hayes,Barbara Isaacs,Comedy,7.8,USA,14-May-92
The Rocket,2018,None,Brady Tutton,Richard Blake,Family,4.8,USA,23-Jan-18
Midlothia,2007,None,James Thomas Gilbert,Jessica McClendon,Drama,5.8,USA,10-Mar-07
Nobody's Perfect,1968,Alan Rafkin,Doug McClure,Nancy Kwan,Comedy,6.8,USA,12-Jan-68
Pocahontas,1995,Eric Goldberg,Mel Gibson,Linda Hunt,Adventure,6.7,USA,23-Jun-95
Backstreet Justice,1994,Chris McIntyre,Linda Kozlowski,Paul Sorvino,Crime,4.4,USA,6-Jan-94
Dracano,2013,Kevin O'Neill,Corin Nemec,Victoria Pratt,Action,3,USA,5-Jun-13
Total Force,1996,None,Timothy Bottoms,Rustam Branaman,Sci-Fi,3.1,USA,19-Sep-96
The Suspect,2006,Keoni Waxman,Jamie Luner,Adrian Hough,Thriller,5.2,USA,16-May-10
Attack of the Atomic Zombies,2011,Tony Diana,Steve Bednar,D.J. Blanch,Comedy,5.3,USA,11-Nov-11
Closing Escrow,2007,Kent Llewellyn,Wendi McLendon-Covey,Ryan Smith,Comedy,5.5,USA,28-Feb-07
Blood Church,1992,Eric Swelstad,Dino Tripodis,Nick Baldasare,Horror,6.5,USA,NA
Barstow 2008,2001,Bob Morrow,Paul Willson,Mindy Sterling,Comedy,7.3,USA,Jan-01
The Curse of the Komodo,2004,Jim Wynorski,Tim Abell,Melissa Brasselle,Action,2.8,USA,21-Feb-04
Mall,2014,Joseph Hahn,James Frecheville,Cameron Monaghan,Drama,5,USA,17-Oct-14
The Boss' Son,1978,Bobby Roth,Asher Brauner,Rudy Solari,Crime,5.9,USA,Oct-78
Exist,2004,Esther Bell,Nic Mevoli,Ben Bartlett,Drama,7.2,USA,19-Aug-04
Starlet!,1969,Richard Kanter,Shari Mann,Dee Lockwood,Drama,5.4,USA,10-Sep-69
Stand by Me,1986,Rob Reiner,Wil Wheaton,River Phoenix,Adventure,8.1,USA,22-Aug-86
The Fish,2000,Craig Lew,Kimberley Murphy Lew,Nicole Moreland,Animation,7.6,USA,15-Jan-00
Rollerbabies,1976,Carter Stevens,Mary Stuart,David Williams,Adult,5.7,USA,2-Jun-76
Song of the Starslayer,2016,Robert Towne,Baron Von Goghku,Anna Surratt,Adventure,7.7,USA,7-Aug-16
The Night of the Iguana,1964,John Huston,Richard Burton,Ava Gardner,Drama,7.8,USA,6-Aug-64
Knock Knock,2007,Joseph Ariola,Nicole Abisinio,Joli Julianna,Horror,3.2,USA,29-Apr-08
C.O.G.,2013,Kyle Patrick Alvarez,Jonathan Groff,Denis O'Hare,Comedy,5.6,USA,20-Jan-13
The Wild and the Naked,1962,Stan Roberts,Carl Rontz,Tanya French,Drama,5,USA,21-Nov-62
The Remains,2016,Thomas Della Bella,Todd Lowe,Brooke Butler,Horror,3.7,USA,5-Aug-16
Night Trap,1993,David A. Prior,Robert Davi,Michael Ironside,Horror,4.3,USA,7-Jul-93
Purgatorio,2012,David Fitch,Jason Nicola,Max Winthrop,Adventure,8.4,USA,4-Oct-12
Play It to the Bone,1999,Ron Shelton,Woody Harrelson,Antonio Banderas,Comedy,5.4,USA,21-Jan-00
Night of the Dolls,2014,Daniel Murphy,Emily Rhoads,Cassie 'Boom' Guthrie,Horror,7.4,USA,Jun-14
The Calm at the Edge of the Sea,2006,Brian Zarin,Susan Burke,Susan Burke,Drama,6.3,USA,19-May-06
The Star Chamber,1983,Peter Hyams,Michael Douglas,Hal Holbrook,Crime,6.3,USA,5-Aug-83
American Guinea Pig: Bloodshock,2015,Marcus Koch,Norm J. Castellano,Barron Christian,Horror,5.5,USA,Jan-16
Duncan's World,1978,John Clayton,Larry Tobias,Don Morrill,Drama,5.5,USA,NA
Shiro's Head,2008,None,Matt Ladmirault,Aleta Borja,Drama,7.2,USA,11-Oct-08
Parker and the Box,2011,Michael Altino,Steven Buccarelli,Mike Catapano,Adventure,8.2,USA,17-Jan-11
Below Utopia,1997,Kurt Voss,Alyssa Milano,Justin Theroux,Drama,5,USA,26-Sep-97
Dawna of the Dead,2008,Laume Conroy,Ginger Cash,Drake Pharaoh,Adult,5.1,USA,14-Aug-08
14 Ways to Wear Lipstick,1999,John Blush,Michael Tassoni,Traci Burgard,Crime,7.2,USA,25-Jan-99
Living to Die,1990,None,Wings Hauser,Darcy DeMoss,Crime,4.9,USA,Dec-90
Mr. Hobbs Takes a Vacation,1962,Henry Koster,James Stewart,Maureen O'Hara,Comedy,6.9,USA,15-Jun-62
Fools' Parade,1971,Andrew V. McLaglen,James Stewart,George Kennedy,Comedy,6.5,USA,Oct-71
Opposite of Ernest,2016,Chad Cunningham,Brandon Bell,Chase Condrone,Drama,8.4,USA,26-Aug-16
Ashpet: An American Cinderella,1990,Tom Davenport,Louise Anderson,Kelly Mancini,Drama,8.2,USA,1990
Bath Salt Zombies,2013,Dustin Mills,Brandon Salkil,Erin R. Ryan,Horror,3.2,USA,19-Feb-13
The Ghost Dance,1982,Peter F. Buffa,Julie Amato,Victor Mohica,Horror,4.6,USA,21-May-82
Night Terrors,1993,Tobe Hooper,Robert Englund,Zoe Trilling,Horror,3.3,USA,19-Sep-95
Not Easily Broken,2009,Bill Duke,Morris Chestnut,Taraji P. Henson,Drama,6.1,USA,9-Jan-09
Seizing Me,2003,Halfdan Hussey,Lisa Keller,Howard Antony,Thriller,6.1,USA,28-Nov-03
Voyeur.com,2000,Serge Rodnunsky,Jena Romano,Adam Weiner,Thriller,1.7,USA,NA
The Rise and Fall of Legs Diamond,1960,Budd Boetticher,Ray Danton,Karen Steele,Crime,6.8,USA,15-May-60
Where the Heart Is,1990,John Boorman,Dabney Coleman,Uma Thurman,Comedy,6.1,USA,23-Feb-90
Amazing Grace,2006,Michael Apted,Ioan Gruffudd,Albert Finney,Biography,7.5,USA,23-Feb-07
Swamp Terror,2014,Bob Bragg,Cheryl Burns,David 'Shark' Fralick,Action,3.2,USA,3-Feb-14
The Steagle,1971,Paul Sylbert,Richard Benjamin,Chill Wills,Comedy,5.6,USA,15-Sep-71
Love Conquers Paul,2009,None,Brendan Bradley,Russell Garofalo,Comedy,7.1,USA,2009
Hard Money,1984,John Christopher,Steve Collins,Brian Hawkes,Adult,7.4,USA,NA
Je ne sais quoi,2008,John C. Koch,Dave Andrae,Victoria Nohl,Comedy,8.4,USA,31-Aug-08
New York Stories,1989,Martin Scorsese,Woody Allen,Nick Nolte,Comedy,6.4,USA,10-Mar-89
Candyman,1992,Bernard Rose,Virginia Madsen,Xander Berkeley,Horror,6.6,USA,16-Oct-92
Message from a Mistress,2017,Barry Bowles,Angell Conwell,Kiki Haynes,Drama,6.2,USA,1-May-17
Barfly,1987,Barbet Schroeder,Mickey Rourke,Faye Dunaway,Comedy,7.3,USA,16-Oct-87
Extreme Measures,1996,Michael Apted,Hugh Grant,Gene Hackman,Crime,6.1,USA,27-Sep-96
The Patriot,1998,None,Steven Seagal,L.Q. Jones,Action,4.1,USA,10-Jul-98
Mike Case in: The Big Kiss Off,2013,Justin Baird,Scott Ganyo,Kenyon Glover,Comedy,7.3,USA,15-Jun-13
Dominos: The Games We Play,2006,Nahala Johnson,Charlex Duhon,Junie Hoang,Action,4.9,USA,10-Jan-06
Placebo Effect,1998,Alejandro Seri,Francesco Quinn,Luciano Saber,Crime,6.3,USA,20-Sep-98
Turn the River,2007,Chris Eigeman,Famke Janssen,Jaymie Dornan,Drama,6,USA,17-Oct-07
The Twenty,2009,None,Clancy Brown,Stephanie Niznik,Drama,6.5,USA,7-Mar-09
Pleasure Palace,1979,Carter Stevens,Serena,Robert Kerman,Adult,6,USA,8-Dec-79
Resident Evil: Red Falls,2013,None,Jordan Page,Josh Linsley,Action,5.6,USA,7-Nov-13
Roberta,1999,Eric Mandelbaum,Kevin Corrigan,Daisy Rojas,Drama,5.7,USA,Jan-99
Early Bird Special,2001,Mark Jean,Scott Aguilar,Amy Benedict,Comedy,6.1,USA,2001
Eden's Curve,2003,None,Trevor Lissauer,Samuel A. Levine,Drama,5.3,USA,20-Apr-03
Weekend Junkies,2007,None,David Blackwell,Enrique Garcia,Comedy,6.2,USA,2008
Spiders,2000,Gary Jones,Lana Parrilla,Josh Green,Horror,3.9,USA,27-Dec-00
Revolution Summer,2007,None,Mackenzie Firgens,Samuel Child,Drama,5.5,USA,3-May-07
Half Moon,2010,Jason Toler,Tori Black,Marek Matousek,Horror,3.4,USA,1-Oct-10
Shut Up and Shoot!,2006,None,Silvio Pollio,Joe Cortese,Comedy,5.3,USA,27-Jun-06
The Cell,2000,Tarsem Singh,Jennifer Lopez,Vince Vaughn,Horror,6.3,USA,18-Aug-00
A House on a Hill,2003,Chuck Workman,Rebecca Staab,James Karen,Drama,6.6,USA,14-Nov-03
Garden of Hedon,2011,Kevin Kangas,Richard Cutting,Danielle Lozeau,Horror,4.3,USA,26-Apr-12
Che!,1969,Richard Fleischer,Omar Sharif,Jack Palance,Biography,5.2,USA,27-Jun-69
Black Theater Today: 2005,2005,Thea Marie Perkins,Richard Gant,Virginia Capers,Documentary,6.1,USA,2005
Amanda by Night 2,1988,Jack Remy,Alexis Greco,Eric Edwards,Adult,6.3,USA,2-Jan-89
The Trouble with the Truth,2011,Jim Hemphill,Lea Thompson,John Shea,Drama,5.8,USA,21-Oct-11
Tobruk,1967,Arthur Hiller,Rock Hudson,George Peppard,Drama,6.4,USA,7-Feb-67
The Last X-rated Movie 4,1991,Cecil Howard,Ron Jeremy,Sharon Kane,Adult,7,USA,1991
The Notorious Landlady,1962,Richard Quine,Kim Novak,Jack Lemmon,Comedy,6.9,USA,Apr-62
Danny Says,2015,Brendan Toller,Justin Bond,Mx Justin Vivian Bond,Animation,6.7,USA,30-Sep-16
Tooth and Nail,2007,Mark Young,Michael Madsen,Vinnie Jones,Drama,4.9,USA,16-Oct-07
Lost Woods,2012,Nathan Ellering,Joey Brown,Garrett Vander Leun,Action,2.2,USA,2-Mar-12
Sweet Jane,1998,None,Samantha Mathis,Barbara Pilavin,Drama,7.1,USA,1-Feb-98
The Groove Tube,1974,None,Ken Shapiro,Richard Belzer,Comedy,5.9,USA,5-Jun-75
Orca,1977,Michael Anderson,Richard Harris,Charlotte Rampling,Adventure,5.6,USA,22-Jul-77
4 Clowns,1970,Robert Youngson,Jay Jackson,Jay Jackson,Comedy,7.5,USA,Sep-70
The Alchemist,1983,Charles Band,Robert Ginty,Lucinda Dooling,Horror,3.8,USA,Mar-86
What the Bleep!?: Down the Rabbit Hole,2006,Mark Vicente,Marlee Matlin,Elaine Hendrix,Documentary,6.5,USA,23-Mar-06
Trona,2004,None,David Nordstrom,Libby Hux,Drama,7.1,USA,Jun-05
Lace Crater,2015,None,Lindsay Burdge,Peter Vack,Comedy,5.6,USA,29-Jul-16
Ping!,2000,Chris Baugh,Judge Reinhold,Clint Howard,Comedy,4.1,USA,4-Sep-01
Johnny Christ,2012,Mark Maggiori,Steeve Olson,Mark Wystrach,Drama,5,USA,NA
The Bone Collector,1999,Phillip Noyce,Denzel Washington,Angelina Jolie,Crime,6.7,USA,5-Nov-99
Evil Obsession,1996,Richard W. Munchkin,Corey Feldman,Kimberly Stevens,Thriller,5.2,USA,Feb-97
I Will... I Will... For Now,1976,Norman Panama,Elliott Gould,Diane Keaton,Comedy,4.8,USA,15-Nov-76
Dumb and Dumberer: When Harry Met Lloyd,2003,Troy Miller,Derek Richardson,Eric Christian Olsen,Comedy,3.4,USA,13-Jun-03
Dark Meridian,2017,None,Billy Slaughter,Dave Davis,Crime,5.9,USA,5-Jan-18
Going Down in LA-LA Land,2011,None,Matthew Ludwinski,Allison Lane,Comedy,6.2,USA,1-May-11
The Journey of August King,1995,John Duigan,Jason Patric,Thandie Newton,Drama,6.6,USA,26-Jan-96
Nacho Mountain,2009,Mitch Csanadi,Kevin Interdonato,Jay Larson,Comedy,4.9,USA,18-Dec-09
10 Rules for Sleeping Around,2013,Leslie Greif,Tammin Sursok,Virginia Williams,Comedy,3.7,USA,4-Apr-14
Snowriders,1996,Peter Speek,Warren Miller,Paul Miller,Documentary,7.6,USA,16-Oct-96
The Tale of Allen Grey,2015,Babak Mehrabi,Gonzalo Borras,April Deutschle,Drama,8.2,USA,2015
Backdoor to Hollywood 6,1989,None,Champagne,Rick Daniels,Adult,5.5,USA,NA
Under One Roof,2002,Robin Feinberg,Jay Wong,James Marks,Comedy,5.8,USA,25-May-02
The Exiles,1961,Kent Mackenzie,Yvonne Williams,Homer Nish,Drama,6.9,USA,13-Jul-61
Without Charlie,2001,Adam Rifkin,Judy Greer,Joshua Malina,Comedy,2,USA,NA
Saint Bernard,2013,None,Jason Dugre,Katy Sullivan,Fantasy,4.4,USA,26-Oct-13
Rebound,2014,Megan Freels Johnston,Ashley James,Mark Scheibmeir,Horror,4.4,USA,23-Jun-14
Ardennes Fury,2014,Joseph J. Lawson,Tom Stedham,Bill Voorhees,Action,2.2,USA,11-Nov-14
ZK: Elephant's Graveyard,2015,B. Harrison Smith,Billy Zane,Dee Wallace,Horror,2.8,USA,11-Feb-16
The Scientist,2010,Zach LeBeau,Bill Sage,Adam LeFevre,Drama,3.6,USA,16-Apr-10
Sand Trap,1998,Harris Done,David Markey,Brad Koepenick,Thriller,5.8,USA,NA
"Welcome Home, Roscoe Jenkins",2008,Malcolm D. Lee,Martin Lawrence,Louis C.K.,Comedy,5.4,USA,8-Feb-08
666: Kreepy Kerry,2014,David DeCoteau,Conner Sorensen,Alexia Quinn,Horror,2.8,USA,2-Apr-14
Buddha Heads,2002,None,Eddie Mui,Calvin Jung,Crime,4.3,USA,9-Aug-02
Late Afternoon of the Living Dead,2007,None,Chris Hutson,Ron Rotondo,Action,5.7,USA,21-Apr-07
Bittersweet Monday,2014,None,Philipp Christopher,David Covington,Drama,3.6,USA,17-Oct-14
Phantasm IV: Oblivion,1998,Don Coscarelli,A. Michael Baldwin,Reggie Bannister,Fantasy,5.7,USA,13-Oct-98
Cherry Mapping,2009,Robert Lee Williams,Austin Abbruscato,Nicola Andalosa,Crime,9,USA,1-Mar-09
The Book of Manson,1989,Raymond Pettibon,Robert Hecker,Joe Cole,Crime,7.1,USA,NA
Edge of Tomorrow,2014,Doug Liman,Tom Cruise,Emily Blunt,Action,7.9,USA,6-Jun-14
Pursued,2004,Kristoffer Tabori,Christian Slater,Gil Bellows,Drama,5.3,USA,20-Sep-06
The Grand Budapest Hotel,2014,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Adventure,8.1,USA,28-Mar-14
Perception,2009,Wade Wofford,Clay Adams,Lauren Gleason,Drama,8.6,USA,2009
The Perfect Gift,2009,None,Jefferson Moore,Christina Fougnie,Drama,7.1,USA,1-Nov-09
Never Forget,2008,Leo Scherman,Lou Diamond Phillips,Kris Holden-Ried,Crime,4.6,USA,10-Jun-08
Still Waters Burn,2008,Halfdan Hussey,Ian Hart,Claudia Wells,Drama,6.8,USA,12-Feb-08
The Chase,1966,Arthur Penn,Marlon Brando,Jane Fonda,Crime,7.3,USA,25-Apr-66
Honeysuckle Rose,1980,Jerry Schatzberg,Willie Nelson,Dyan Cannon,Drama,6.2,USA,18-Jul-80
My Demon Within,2005,Michael Su,Adam LeClair,Nadine Bernecker,Horror,5.4,USA,16-Oct-11
Carnal Encounters of the Barest Kind,1978,Donald S. Bruce,Jenny Bradly,Penny 'Butch' Knuckles,Adult,5.9,USA,NA
A Child Is Waiting,1963,John Cassavetes,Burt Lancaster,Judy Garland,Drama,7.3,USA,11-May-63
Jungle Trap,2016,James Bryan,Renee Harmon,Frank Neuhaus,Horror,5.4,USA,24-Sep-16
"Supernaturalz: Weird, Creepy & Random",2012,Kevin Sean Michaels,Lucy Spain,Alexia Anastasio,Comedy,5.9,USA,17-Aug-12
I'll Take Sweden,1965,Frederick De Cordova,Bob Hope,Dina Merrill,Comedy,5.3,USA,18-Jun-65
Director,2008,Aleks Rosenberg,Claudia Davila,Stephane Kay,Action,3.5,USA,31-Oct-08
Minor Details,2009,John Lyde,Kelsey Edwards,Caitlin E.J. Meyer,Adventure,4.8,USA,5-Feb-09
The Art of Murder,1999,Ruben Preuss,Michael Moriarty,Joanna Pacula,Thriller,4.7,USA,NA
Passengers,2009,Michael Bond,Cameron Daddo,Angie Milliken,Drama,5.5,USA,2015
Maniac on the Loose,2008,None,Nick Faust,Steve Hudgins,Horror,5.3,USA,1-May-08
Hawaii Vice 6,1989,Ron Jeremy,Lynn LeMay,Alicia Monet,Adult,6.5,USA,NA
Lucky Luciano,1973,Francesco Rosi,Gian Maria VolontÃ¨,Vincent Gardenia,Biography,6.4,USA,Nov-74
Expecting Mercy,2000,Dave Hansen,Carrie Hitchcock,Brian Mani,Thriller,5.2,USA,2000
Kickin' It Old Skool,2007,Harvey Glazer,Jamie Kennedy,Maria Menounos,Comedy,4.6,USA,27-Apr-07
QuinceaÃ±era,2006,Wash Westmoreland,Emily Rios,Jesse Garcia,Drama,7.1,USA,5-Jul-06
Battleship,2012,Peter Berg,Alexander SkarsgÃ¥rd,Brooklyn Decker,Action,5.8,USA,18-May-12
Angel Eyes,1993,Gary Graver,Erik Estrada,John Phillip Law,Crime,4.6,USA,17-Mar-93
Headcrusher,1999,Ricardo Islas,Marilea Butler,Stephanie Beaton,Horror,4.6,USA,NA
Schoolgirl's Reunion,1977,Shaun Costello,Bobby Astyr,RenÃ©e Duval,Adult,5.4,USA,5-Apr-82
Above All Else: The Everest Dream,1999,None,Jamie Clarke,Leigh Clarke,Adventure,6.3,USA,1999
Vice Versa,1988,Brian Gilbert,Judge Reinhold,Fred Savage,Comedy,5.8,USA,11-Mar-88
The Lucky One,2012,Scott Hicks,Zac Efron,Taylor Schilling,Drama,6.5,USA,20-Apr-12
The Magic of Belle Isle,2012,Rob Reiner,Morgan Freeman,Virginia Madsen,Comedy,7,USA,6-Jul-12
Bombshell,1997,None,Henry Thomas,MÃ¤dchen Amick,Sci-Fi,4.4,USA,30-Dec-97
Blink,1993,Michael Apted,Madeleine Stowe,Aidan Quinn,Crime,6.2,USA,26-Jan-94
Invaders from Mars,1986,Tobe Hooper,Karen Black,Hunter Carson,Horror,5.5,USA,6-Jun-86
The Truth About Average Guys,2009,None,Ken Gayton,Jason W. Schaver,Comedy,5.5,USA,17-Jan-09
Wrong Way to Sundance,2001,Dan Settani,Todd Bridges,Jamie Wheatley,Comedy,6.8,USA,NA
Milk & Money,1996,Michael Bergmann,Robert Petkoff,Harsh Nayyar,Comedy,5,USA,19-Oct-96
The Red Cell,2008,None,Janet Green,Chris Schwartz,Horror,1.7,USA,8-Apr-08
Day Camp,2009,Sean Armstrong,Danny Boushebel,Amanda Crawford,Comedy,7.8,USA,NA
Night Train to Terror,1985,Gregg G. Tallas,Barbara Wyler,Jamie Scoggin,Horror,3.9,USA,May-85
Pearl Diver,2004,Sidney King,Emily Stoltzfus,Jeremy Glickstein,Drama,5.7,USA,15-Oct-04
The Manchu Eagle Murder Caper Mystery,1975,None,Gabriel Dell,Will Geer,Comedy,7,USA,Mar-75
Midnight Son,2011,Scott Leberecht,Zak Kilberg,Maya Parish,Horror,6,USA,2011
Dreamkiller,2010,Catherine C. Pirotta,Dario Deak,John Savage,Thriller,5.1,USA,19-Feb-10
Mr. Jealousy,1997,Noah Baumbach,Eric Stoltz,Annabella Sciorra,Comedy,6.5,USA,5-Jun-98
Sadie,1980,Bob Chinn,Chris Cassidy,Jerome Deeds,Adult,6.2,USA,1980
Passengers,2008,Rodrigo GarcÃ­a,Anne Hathaway,Patrick Wilson,Drama,5.9,USA,24-Oct-08
Hellhounds,2013,Eric Widing,Sonny Burnette,Rachel Carter,Adventure,7.2,USA,8-Nov-13
Sixpack Annie,1975,Fred G. Thorne,Lindsay Bloom,Jana Bellan,Action,4.3,USA,Dec-75
Moontrap: Target Earth,2017,Robert Dyke,Tarick Salmaci,Niki Spiridakos,Action,4,USA,7-Feb-17
Dead Clowns,2004,Steve Sessions,Brinke Stevens,William Riordan,Horror,2.5,USA,31-Jul-07
Erotic Dreams,1988,Robert F. Pope,Robert Miles,Nathan Lanes,Comedy,6.6,USA,NA
Sharing God Kid Style,2009,None,Boris Orozco,Kacee DeMasi,Comedy,6.5,USA,15-Jan-09
"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3",2005,James Riffel,Erik Van Wyck,Alexandria DeFabiis,Comedy,4.4,USA,22-Jul-05
Youngblood,1986,Peter Markle,Rob Lowe,Cynthia Gibb,Drama,6.1,USA,31-Jan-86
Sex Star Competition,1985,Jim Travis,Chanel Price,Dick Rambone,Adult,6.9,USA,NA
Savages,2012,Oliver Stone,Aaron Taylor-Johnson,Taylor Kitsch,Crime,6.5,USA,6-Jul-12
Kill Bill: Vol. 1,2003,Quentin Tarantino,Uma Thurman,David Carradine,Action,8.1,USA,10-Oct-03
Death Mask,1984,Richard Friedman,Farley Granger,Lee Bryant,Crime,5.9,USA,NA
Happy,2015,None,Arthur Jalta,Isabelle Ryan,Comedy,5.2,USA,2015
Little Savages,2016,Paul Tomborello,Noah Lomax,Aedin Mincks,Adventure,5.6,USA,2-Feb-16
The Girl in the Photographs,2015,Nick Simon,Kal Penn,Claudia Lee,Crime,4.5,USA,1-Apr-16
Sundowning,2005,Jim Comas Cole,Emmanuelle Chaulet,Aaron Duffey,Drama,8.4,USA,2-Mar-05
Something to Lose,2017,Jason Radcliffe,Rachel Radcliffe,Kaegan Ramsey,Family,7.1,USA,1-Oct-17
Sinking Sand,2016,Brian Yarbrough,Jenn Gotzon Chandler,Tom Clark,Thriller,9.6,USA,7-Dec-16
ED & The Awakening,2011,Patrick Love,Graham Bartholomae,Colleen Breen,Comedy,7.3,USA,NA
Amazing Sex Stories,1986,Vinnie Rossi,Gina Carrera,Kimi Gee,Adult,5.6,USA,NA
Stratagem,2008,Jeremy Dean,Rich Hull,John Klemantaski,Action,6.4,USA,2008
Fifty Shades of Black,2016,Michael Tiddes,Marlon Wayans,Kali Hawk,Comedy,3.5,USA,29-Jan-16
Connected,2016,Mat Hames,Barbara Dunkelman,Blaine Gibson,Documentary,8.1,USA,15-Apr-16
The Time Traveler's Wife,2009,Robert Schwentke,Eric Bana,Rachel McAdams,Drama,7.1,USA,14-Aug-09
Ayla,2017,Elias,Nicholas Wilder,Tristan Risk,Drama,7,USA,6-Oct-17
Elevator Movie,2004,None,Zeb Haradon,Robin Ballard,Comedy,5.8,USA,2004
The Sadist,1963,James Landis,Don Russell,Arch Hall Sr.,Thriller,6.8,USA,7-Aug-63
Wonderguy,1993,Murad Gumen,Ann Osmond,Thomas Groves,Action,6.2,USA,NA
Fast Ball,1973,Tim Davies,Jim Gregs,Darby Lloyd Rains,Adult,6,USA,11-Apr-75
Into a Dark Mind,2017,None,Tom Sizemore,Dennis Haskins,Action,8.8,USA,NA
Till Death... Do Us Part,2008,Janaya Black,Eric Bare,Rockey Black,Drama,4.3,USA,15-Nov-08
Just Another Noir,2011,None,Eric LeBlanc,Dorian Dardar,Crime,5.4,USA,22-Sep-11
Walled In,2009,Gilles Paquet-Brenner,Tim Allen,Mischa Barton,Horror,4.8,USA,19-Jun-09
American Sasquatch Hunters: Bigfoot in America,2013,J. Michael Long,Jeffrey Meldrum,Tim Cassidy,Documentary,3.2,USA,1-Aug-13
The Way of Glass,2012,Daniel Berg,Theodore Bouloukos,Frances Pabon,Drama,8.8,USA,18-Mar-12
The Perfect Host,2010,Nick Tomnay,David Hyde Pierce,Clayne Crawford,Comedy,6.8,USA,7-May-11
Body Gulch,1997,Michael Lauter,Andrew Novick,Tracey Fernandez,Horror,7.4,USA,14-May-97
Rhineland,2007,Chris Grega,Derek Simmons,Paul Wendell,Drama,5.1,USA,25-Jul-07
Ten Violent Women,1982,Ted V. Mikels,Sherri Vernon,Dixie Lauren,Action,3.1,USA,Mar-82
The Corpse Grinders,1971,Ted V. Mikels,Sean Kenney,Monika Kelly,Comedy,3.6,USA,21-Apr-72
O.B.A.M. Nude,2009,None,Ken Del Vecchio,Andrew Gause,Drama,4.3,USA,30-May-09
Let Them Eat Rock,2004,Rodman Flender,Chris Cote,Nat Freedberg,Documentary,7.6,USA,17-Sep-04
Driving While Black,2016,Paul Sapiano,Dominique Purdy,Sheila Tejada,Comedy,7.7,USA,2016
Pet Sematary,1989,Mary Lambert,Dale Midkiff,Denise Crosby,Horror,6.6,USA,21-Apr-89
Wrestling,2008,None,Mark Welling,Jeff Conaway,Drama,5.9,USA,3-Jun-08
Greedy,1994,Jonathan Lynn,Michael J. Fox,Kirk Douglas,Comedy,6.3,USA,4-Mar-94
Sweet Little Lies,2011,William J. Saunders,Caitlin Kinnunen,Joseph Montes,Adventure,7.6,USA,4-Jun-11
Body,2010,None,Nicholas Osgood,Ashley Marie Sunderhaus,Crime,6.9,USA,NA
The Good Life,2012,Christopher Nolen,Tangi Miller,Richard Gallion,Drama,5.1,USA,23-Jul-13
Winding Roads,1999,Theodore Melfi,Kimberly Quinn,Katrina Holden Bronson,Drama,6.1,USA,7-Oct-99
The Lot,2011,Nick Leisure,Wayne Waynee,Demetrius Dedmon,Comedy,8.1,USA,8-Sep-11
Toxin,2015,None,Taylor Handley,Danny Glover,Drama,2.9,USA,30-Jan-15
